ID,Subrubro,Modelo
141,Com. Varios,0
233,Com. Varios,0
324,Com. Varios,0
373,Com. Varios,0
735,Com. Varios,0
1131,Com. Varios,0
1245,Com. Varios,0
1286,Com. Varios,0
1304,Com. Varios,0
1333,Com. Varios,0
1344,Com. Varios,0
1357,Com. Varios,0
1417,Com. Varios,0
1456,Com. Varios,0
1462,Com. Varios,0
1500,Com. Varios,0
1527,Com. Varios,0
1582,Com. Varios,0
1736,Com. Varios,0
1897,Com. Varios,0
2078,Com. Varios,0
2166,Com. Varios,0
2170,Com. Varios,0
2341,Com. Varios,0
2455,Com. Varios,0
2696,Com. Varios,0
2802,Com. Varios,0
2900,Com. Varios,0
2946,Com. Varios,0
79,Comb.,0
114,Comb.,0
171,Comb.,0
233,Comb.,0
283,Comb.,0
380,Comb.,0
438,Comb.,0
468,Comb.,0
876,Comb.,0
1028,Comb.,0
1320,Comb.,0
1757,Comb.,0
1775,Comb.,0
2850,Comb.,0
2902,Comb.,0
380,Comb. Ley,0
1206,Comb. Ley,0
1719,Comb. Ley,0
2177,Comb. Ley,0
2383,Comb. Ley,0
313,Farmacia,0
978,Farmacia,0
1128,Farmacia,0
1201,Farmacia,0
1360,Farmacia,0
1646,Farmacia,0
1659,Farmacia,0
1734,Farmacia,0
2074,Farmacia,0
2089,Farmacia,0
2123,Farmacia,0
2162,Farmacia,0
2211,Farmacia,0
2290,Farmacia,0
2334,Farmacia,0
2338,Farmacia,0
80,Gondola,0
112,Gondola,0
148,Gondola,0
163,Gondola,0
205,Gondola,0
313,Gondola,0
527,Gondola,0
921,Gondola,0
1216,Gondola,0
1220,Gondola,0
1251,Gondola,0
1591,Gondola,0
1744,Gondola,0
2175,Gondola,0
2343,Gondola,0
2359,Gondola,0
2428,Gondola,0
2619,Gondola,0
2715,Gondola,0
2825,Gondola,0
2860,Gondola,0
2925,Gondola,0
39,Miscelaneo,0
218,Miscelaneo,0
307,Miscelaneo,0
324,Miscelaneo,0
358,Miscelaneo,0
380,Miscelaneo,0
485,Miscelaneo,0
493,Miscelaneo,0
538,Miscelaneo,0
616,Miscelaneo,0
660,Miscelaneo,0
732,Miscelaneo,0
811,Miscelaneo,0
814,Miscelaneo,0
1030,Miscelaneo,0
1040,Miscelaneo,0
1055,Miscelaneo,0
1077,Miscelaneo,0
1116,Miscelaneo,0
1173,Miscelaneo,0
1174,Miscelaneo,0
1307,Miscelaneo,0
1334,Miscelaneo,0
1343,Miscelaneo,0
1351,Miscelaneo,0
1353,Miscelaneo,0
1355,Miscelaneo,0
1372,Miscelaneo,0
1390,Miscelaneo,0
1423,Miscelaneo,0
1436,Miscelaneo,0
1437,Miscelaneo,0
1521,Miscelaneo,0
1575,Miscelaneo,0
1594,Miscelaneo,0
1632,Miscelaneo,0
1725,Miscelaneo,0
1879,Miscelaneo,0
1921,Miscelaneo,0
1925,Miscelaneo,0
1930,Miscelaneo,0
1948,Miscelaneo,0
1967,Miscelaneo,0
1990,Miscelaneo,0
1995,Miscelaneo,0
1996,Miscelaneo,0
2019,Miscelaneo,0
2105,Miscelaneo,0
2115,Miscelaneo,0
2196,Miscelaneo,0
2326,Miscelaneo,0
2357,Miscelaneo,0
2367,Miscelaneo,0
2377,Miscelaneo,0
2546,Miscelaneo,0
2562,Miscelaneo,0
2568,Miscelaneo,0
2600,Miscelaneo,0
2621,Miscelaneo,0
2662,Miscelaneo,0
2729,Miscelaneo,0
2742,Miscelaneo,0
2845,Miscelaneo,0
2850,Miscelaneo,0
2855,Miscelaneo,0
2902,Miscelaneo,0
2919,Miscelaneo,0
2946,Miscelaneo,0
2951,Miscelaneo,0
2966,Miscelaneo,0
97,Supermercados,0
171,Supermercados,0
370,Supermercados,0
382,Supermercados,0
793,Supermercados,0
1021,Supermercados,0
1452,Supermercados,0
1720,Supermercados,0
1755,Supermercados,0
1853,Supermercados,0
2116,Supermercados,0
2137,Supermercados,0
2167,Supermercados,0
2409,Supermercados,0
2643,Supermercados,0
2744,Supermercados,0
2843,Supermercados,0
2885,Supermercados,0
541,Tabaco,0
597,Tabaco,0
861,Tabaco,0
946,Tabaco,0
1379,Tabaco,0
1848,Tabaco,0
2540,Tabaco,0
136,Vehiculos,0
229,Vehiculos,0
523,Vehiculos,0
791,Vehiculos,0
1145,Vehiculos,0
1166,Vehiculos,0
1356,Vehiculos,0
1396,Vehiculos,0
1477,Vehiculos,0
1504,Vehiculos,0
2159,Vehiculos,0
2309,Vehiculos,0
2467,Vehiculos,0
2581,Vehiculos,0
2674,Vehiculos,0
2790,Vehiculos,0
2857,Vehiculos,0
2924,Vehiculos,0
876,Venta Agrop.,0
970,Venta Agrop.,0
1141,Venta Agrop.,0
1208,Venta Agrop.,0
1236,Venta Agrop.,0
1242,Venta Agrop.,0
1399,Venta Agrop.,0
1442,Venta Agrop.,0
1579,Venta Agrop.,0
1630,Venta Agrop.,0
1902,Venta Agrop.,0
2078,Venta Agrop.,0
2147,Venta Agrop.,0
2605,Venta Agrop.,0
2661,Venta Agrop.,0
2716,Venta Agrop.,0
2782,Venta Agrop.,0
